COMENT1                 : File generated by
COMENT2                 : Hidromod
 
 
 ILB_IUB    :           1         122
 JLB_JUB    :           1         147
 COORD_TIP  :           4
 ORIGIN     :  0.000000000000000E+000  0.000000000000000E+000
 GRID_ANGLE :  0.000000000000000E+000
 LATITUDE   :   45.0000000000000     
 LONGITUDE  :  -8.00000000000000     
 FILL_VALUE :  -99.0000000000000     
 
 
 <CornersXY>
  -45.7083339691162       -24.0416669845581     
  -45.6250000000000       -24.0416669845581     
  -45.5416660308838       -24.0416669845581     
  -45.4583339691162       -24.0416669845581     
  -45.3750000000000       -24.0416669845581     
  -45.2916660308838       -24.0416669845581     
  -45.2083339691162       -24.0416669845581     
  -45.1250000000000       -24.0416669845581     
  -45.0416660308838       -24.0416669845581     
  -44.9583339691162       -24.0416669845581     
  -44.8750000000000       -24.0416669845581     
  -44.7916660308838       -24.0416669845581     
  -44.7083339691162       -24.0416669845581     
  -44.6250000000000       -24.0416669845581     
  -44.5416660308838       -24.0416669845581     
  -44.4583339691162       -24.0416669845581     
  -44.3750000000000       -24.0416669845581     
  -44.2916660308838       -24.0416669845581     
  -44.2083339691162       -24.0416669845581     
  -44.1250000000000       -24.0416669845581     
  -44.0416660308838       -24.0416669845581     
  -43.9583339691162       -24.0416669845581     
  -43.8750000000000       -24.0416669845581     
  -43.7916660308838       -24.0416669845581     
  -43.7083339691162       -24.0416669845581     
  -43.6250000000000       -24.0416669845581     
  -43.5416660308838       -24.0416669845581     
  -43.4583339691162       -24.0416669845581     
  -43.3750000000000       -24.0416669845581     
  -43.2916660308838       -24.0416669845581     
  -43.2083339691162       -24.0416669845581     
  -43.1250000000000       -24.0416669845581     
  -43.0416660308838       -24.0416669845581     
  -42.9583339691162       -24.0416669845581     
  -42.8750000000000       -24.0416669845581     
  -42.7916660308838       -24.0416669845581     
  -42.7083339691162       -24.0416669845581     
  -42.6250000000000       -24.0416669845581     
  -42.5416660308838       -24.0416669845581     
  -42.4583339691162       -24.0416669845581     
  -42.3750000000000       -24.0416669845581     
  -42.2916660308838       -24.0416669845581     
  -42.2083339691162       -24.0416669845581     
  -42.1250000000000       -24.0416669845581     
  -42.0416660308838       -24.0416669845581     
  -41.9583339691162       -24.0416669845581     
  -41.8750000000000       -24.0416669845581     
  -41.7916660308838       -24.0416669845581     
  -41.7083339691162       -24.0416669845581     
  -41.6250000000000       -24.0416669845581     
  -41.5416660308838       -24.0416669845581     
  -41.4583339691162       -24.0416669845581     
  -41.3750000000000       -24.0416669845581     
  -41.2916660308838       -24.0416669845581     
  -41.2083339691162       -24.0416669845581     
  -41.1250000000000       -24.0416669845581     
  -41.0416660308838       -24.0416669845581     
  -40.9583339691162       -24.0416669845581     
  -40.8750000000000       -24.0416669845581     
  -40.7916660308838       -24.0416669845581     
  -40.7083339691162       -24.0416669845581     
  -40.6250000000000       -24.0416669845581     
  -40.5416660308838       -24.0416669845581     
  -40.4583339691162       -24.0416669845581     
  -40.3750000000000       -24.0416669845581     
  -40.2916660308838       -24.0416669845581     
  -40.2083339691162       -24.0416669845581     
  -40.1250000000000       -24.0416669845581     
  -40.0416660308838       -24.0416669845581     
  -39.9583339691162       -24.0416669845581     
  -39.8750000000000       -24.0416669845581     
  -39.7916660308838       -24.0416669845581     
  -39.7083339691162       -24.0416669845581     
  -39.6250000000000       -24.0416669845581     
  -39.5416660308838       -24.0416669845581     
  -39.4583339691162       -24.0416669845581     
  -39.3750000000000       -24.0416669845581     
  -39.2916660308838       -24.0416669845581     
  -39.2083339691162       -24.0416669845581     
  -39.1250000000000       -24.0416669845581     
  -39.0416660308838       -24.0416669845581     
  -38.9583339691162       -24.0416669845581     
  -38.8750000000000       -24.0416669845581     
  -38.7916660308838       -24.0416669845581     
  -38.7083339691162       -24.0416669845581     
  -38.6250000000000       -24.0416669845581     
  -38.5416660308838       -24.0416669845581     
  -38.4583339691162       -24.0416669845581     
  -38.3750000000000       -24.0416669845581     
  -50.6250000000000       -23.9583330154419     
  -50.5416660308838       -23.9583330154419     
  -50.4583339691162       -23.9583330154419     
  -50.3750000000000       -23.9583330154419     
  -50.2916660308838       -23.9583330154419     
  -50.2083339691162       -23.9583330154419     
  -50.1250000000000       -23.9583330154419     
  -50.0416660308838       -23.9583330154419     
  -49.9583339691162       -23.9583330154419     
  -49.8750000000000       -23.9583330154419     
  -49.7916660308838       -23.9583330154419     
  -49.7083339691162       -23.9583330154419     
  -49.6250000000000       -23.9583330154419     
  -49.5416660308838       -23.9583330154419     
  -49.4583339691162       -23.9583330154419     
  -49.3750000000000       -23.9583330154419     
  -49.2916660308838       -23.9583330154419     
  -49.2083339691162       -23.9583330154419     
  -49.1250000000000       -23.9583330154419     
  -49.0416660308838       -23.9583330154419     
  -48.9583339691162       -23.9583330154419     
  -48.8750000000000       -23.9583330154419     
  -48.7916660308838       -23.9583330154419     
  -48.7083339691162       -23.9583330154419     
  -48.6250000000000       -23.9583330154419     
  -48.5416660308838       -23.9583330154419     
  -48.4583339691162       -23.9583330154419     
  -48.3750000000000       -23.9583330154419     
  -48.2916660308838       -23.9583330154419     
  -48.2083339691162       -23.9583330154419     
  -48.1250000000000       -23.9583330154419     
  -48.0416660308838       -23.9583330154419     
  -47.9583339691162       -23.9583330154419     
  -47.8750000000000       -23.9583330154419     
  -47.7916660308838       -23.9583330154419     
  -47.7083339691162       -23.9583330154419     
  -47.6250000000000       -23.9583330154419     
  -47.5416660308838       -23.9583330154419     
  -47.4583339691162       -23.9583330154419     
  -47.3750000000000       -23.9583330154419     
  -47.2916660308838       -23.9583330154419     
  -47.2083339691162       -23.9583330154419     
  -47.1250000000000       -23.9583330154419     
  -47.0416660308838       -23.9583330154419     
  -46.9583339691162       -23.9583330154419     
  -46.8750000000000       -23.9583330154419     
  -46.7916660308838       -23.9583330154419     
  -46.7083339691162       -23.9583330154419     
  -46.6250000000000       -23.9583330154419     
  -46.5416660308838       -23.9583330154419     
  -46.4583339691162       -23.9583330154419     
  -46.3750000000000       -23.9583330154419     
  -46.2916660308838       -23.9583330154419     
  -46.2083339691162       -23.9583330154419     
  -46.1250000000000       -23.9583330154419     
  -46.0416660308838       -23.9583330154419     
  -45.9583339691162       -23.9583330154419     
  -45.8750000000000       -23.9583330154419     
  -45.7916660308838       -23.9583330154419     
  -45.7083339691162       -23.9583330154419     
  -45.6250000000000       -23.9583330154419     
  -45.5416660308838       -23.9583330154419     
  -45.4583339691162       -23.9583330154419     
  -45.3750000000000       -23.9583330154419     
  -45.2916660308838       -23.9583330154419     
  -45.2083339691162       -23.9583330154419     
  -45.1250000000000       -23.9583330154419     
  -45.0416660308838       -23.9583330154419     
  -44.9583339691162       -23.9583330154419     
  -44.8750000000000       -23.9583330154419     
  -44.7916660308838       -23.9583330154419     
  -44.7083339691162       -23.9583330154419     
  -44.6250000000000       -23.9583330154419     
  -44.5416660308838       -23.9583330154419     
  -44.4583339691162       -23.9583330154419     
  -44.3750000000000       -23.9583330154419     
  -44.2916660308838       -23.9583330154419     
  -44.2083339691162       -23.9583330154419     
  -44.1250000000000       -23.9583330154419     
  -44.0416660308838       -23.9583330154419     
  -43.9583339691162       -23.9583330154419     
  -43.8750000000000       -23.9583330154419     
  -43.7916660308838       -23.9583330154419     
  -43.7083339691162       -23.9583330154419     
  -43.6250000000000       -23.9583330154419     
  -43.5416660308838       -23.9583330154419     
  -43.4583339691162       -23.9583330154419     
  -43.3750000000000       -23.9583330154419     
  -43.2916660308838       -23.9583330154419     
  -43.2083339691162       -23.9583330154419     
  -43.1250000000000       -23.9583330154419     
  -43.0416660308838       -23.9583330154419     
  -42.9583339691162       -23.9583330154419     
  -42.8750000000000       -23.9583330154419     
  -42.7916660308838       -23.9583330154419     
  -42.7083339691162       -23.9583330154419     
  -42.6250000000000       -23.9583330154419     
  -42.5416660308838       -23.9583330154419     
  -42.4583339691162       -23.9583330154419     
  -42.3750000000000       -23.9583330154419     
  -42.2916660308838       -23.9583330154419     
  -42.2083339691162       -23.9583330154419     
  -42.1250000000000       -23.9583330154419     
  -42.0416660308838       -23.9583330154419     
  -41.9583339691162       -23.9583330154419     
  -41.8750000000000       -23.9583330154419     
  -41.7916660308838       -23.9583330154419     
  -41.7083339691162       -23.9583330154419     
  -41.6250000000000       -23.9583330154419     
  -41.5416660308838       -23.9583330154419     
  -41.4583339691162       -23.9583330154419     
  -41.3750000000000       -23.9583330154419     
  -41.2916660308838       -23.9583330154419     
  -41.2083339691162       -23.9583330154419     
  -41.1250000000000       -23.9583330154419     
  -41.0416660308838       -23.9583330154419     
  -40.9583339691162       -23.9583330154419     
  -40.8750000000000       -23.9583330154419     
  -40.7916660308838       -23.9583330154419     
  -40.7083339691162       -23.9583330154419     
  -40.6250000000000       -23.9583330154419     
  -40.5416660308838       -23.9583330154419     
  -40.4583339691162       -23.9583330154419     
  -40.3750000000000       -23.9583330154419     
  -40.2916660308838       -23.9583330154419     
  -40.2083339691162       -23.9583330154419     
  -40.1250000000000       -23.9583330154419     
  -40.0416660308838       -23.9583330154419     
  -39.9583339691162       -23.9583330154419     
  -39.8750000000000       -23.9583330154419     
  -39.7916660308838       -23.9583330154419     
  -39.7083339691162       -23.9583330154419     
  -39.6250000000000       -23.9583330154419     
  -39.5416660308838       -23.9583330154419     
  -39.4583339691162       -23.9583330154419     
  -39.3750000000000       -23.9583330154419     
  -39.2916660308838       -23.9583330154419     
  -39.2083339691162       -23.9583330154419     
  -39.1250000000000       -23.9583330154419     
  -39.0416660308838       -23.9583330154419     
  -38.9583339691162       -23.9583330154419     
